id,category,query1,query2,label
41,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是哪一种病呢？,1
42,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是病吗？,0
43,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血需要去看病吗？,0
44,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血这种病严重吗？,0
45,咳血,请问肺癌造成咯血的原因是什么?,请问为什么肺癌会造成咯血呢?,1
46,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌是如何导致咯血的？,1
47,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌会造成咯血吗？,0
48,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌造成的咯血应该如何治疗？,0
49,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌造成的咯血严重吗？,0
50,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血有什么治疗的方法？,1
51,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血该怎么治疗？,1
52,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血需要治疗吗？,0
53,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血严重吗？,0
54,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血是什么原因呢？,0
55,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎会造成咯血吗？,1
56,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎是否会导致咯血？,1
57,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血怎么办？,0
58,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血该怎么治疗？,0
59,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血吃什么药？,0
60,咳血,肺癌不咯血是不是情况好转了？,肺癌不咯血是不是说明变好了？,1
61,咳血,肺癌不咯血是不是情况好转了？,肺癌不咯血是不是情况好转了？,1
62,咳血,肺癌不咯血是不是情况好转了？,肺癌会不会咯血？,0
63,咳血,肺癌不咯血是不是情况好转了？,肺癌会导致咯血的情况吗？,0
64,咳血,肺癌不咯血是不是情况好转了？,肺癌和咯血有关系吗？,0
65,咳血,急性大咯血的症状有哪些？,急性大咯血会有什么症状呢？,1
66,咳血,急性大咯血的症状有哪些？,急性大咯血会出现什么样的症状？,1
67,咳血,急性大咯血的症状有哪些？,急性大咯血的种类有哪些？,0
68,咳血,急性大咯血的症状有哪些？,急性大咯血有哪些治疗方法？,0
69,咳血,急性大咯血的症状有哪些？,急性大咯血的原因是什么？,0
70,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊什么时候吃比较好？,1
71,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊适合饭前吃吗？,1
72,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊有副作用吗？,0
73,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊效果好不好？,0
74,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊可以和其他药一起吃吗？,0
75,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿服用百令胶囊可以吗？,1
76,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿是否可以吃百令胶囊？,1
77,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿可以服用感冒药吗？,0
78,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿吃什么药好？,0
79,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿可以治疗吗？,0
80,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸适合什么样的症状？,1
81,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸的效果好吗？,1
82,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸有哪些副作用？,0
83,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸适应孕妇服用吗？,0
84,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸有哪些注意事项？,0
85,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏是怎么使用的？,1
86,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏如何服用？,1
87,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏适合儿童服用吗？,0
88,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏有什么副作用呢？,0
89,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏的效果怎么样？,0
90,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊是味道是怎样的？,1
91,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊味道好吗，苦还是咸？,1
92,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊是苦的还是咸的？,0
93,咳血,你好百令胶囊是苦的还是咸的？,您好百令胶囊怎么服用?,0
94,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊的效果怎么样？,0
95,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊是如何服用的呢？,1
96,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道怎么服用百令胶囊？,1
97,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊适应什么样的症状？,0
98,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊可以和其他药物一起吃吗？,0
